Protein.Accession.	GN	GN	Pr0B_0h1	ProB_0h2	Pr0B_1h1	Pr0B_1h2	Pr0B_4h1	Pr0B_4h2	Pr0B_16h1	Pr0B_16h2
sp|Q8VHL0|UT1_MOUSE	Slc14a1	Slc14a1	67283.34264	62595.03944	68500.49106	63238.24764	56777.70402	57572.80408	44865.52834	41682.80485
sp|Q8BZ09|ODC_MOUSE	Slc25a21	Slc25a21	252394.4516	239207.3759	270823.0298	246471.2986	265901.7543	201083.8039	171717.5323	147703.8545
sp|Q8BMD8|SCMC1_MOUSE	Slc25a24	Slc25a24	187540.209	203817.5505	182512.7746	188676.0098	178007.3282	184237.064	147353.0493	151148.7068
sp|Q8CFJ7|S2545_MOUSE	Slc25a45	Slc25a45	27517.05816	29592.10922	25900.42534	28944.98704	27875.43639	29145.0523	22368.71871	22990.492
sp|P04919|B3AT_MOUSE	Slc4a1	Slc4a1	414904.9374	448483.381	446569.7306	447723.8543	382003.5792	374512.7294	273057.7143	232468.6151
sp|Q9D7Y9|SLX4I_MOUSE	Slx4ip	Slx4ip	14765.44227	16005.93971	16059.50483	15225.01775	15193.37437	15677.46393	12040.63752	11997.38971
sp|Q921U8|SMTN_MOUSE	Smtn	Smtn	88850.3242	89883.23256	90498.17322	91433.71132	75447.7716	78153.32484	57424.09721	60839.7262
sp|O35892|SP100_MOUSE	Sp100	Sp100	905630.8824	827960.2037	860544.8862	849862.8595	794705.5311	820625.1078	658496.1317	686541.545
tr|Q8C405|Q8C405_MOUSE	Sp100	Sp100	901811.255	818310.0927	862208.4105	859126.7158	788402.3549	814230.4614	662993.0677	682529.5722
tr|Q3U5P2|Q3U5P2_MOUSE	Sp100	Sp100	834927.3943	742320.6516	797793.8575	779705.1456	725193.2343	765557.4389	601089.057	637691.8335
tr|E9QA05|E9QA05_MOUSE	Sp100	Sp100	830072.4229	786872.5635	776515.7223	805829.0725	751036.7248	800637.1314	645522.7476	678402.6783
tr|F6WL90|F6WL90_MOUSE	Sp100	Sp100	222904.6875	195084.911	209092.5234	222032.0028	201525.3553	202459.6453	170556.6191	163854.9521
sp|Q62445|SP4_MOUSE	Sp4	Sp4	52573.00904	45641.54885	47357.82128	52613.8718	48455.83085	50485.89058	39185.16496	39764.95864
tr|E9Q3I3|E9Q3I3_MOUSE	Spata13	Spata13	49613.38701	49260.72976	53913.56987	60457.81252	43888.2173	48655.4553	40031.20768	41781.02774
sp|Q5DU57|SPT13_MOUSE	Spata13	Spata13	22684.8346	21966.64361	24041.46632	26959.71472	21330.32386	21696.73595	19904.20915	20044.48249
sp|Q62407|SPEG_MOUSE	Speg	Speg	42615.21056	40938.54024	45875.93177	41616.91662	40427.15446	41001.91181	35854.89569	34371.74747
sp|P08032|SPTA1_MOUSE	Spta1	Spta1	45396.05407	49306.61596	49652.95572	50215.47046	43057.03782	38813.5521	31499.02887	26735.81398
sp|P15508|SPTB1_MOUSE	Sptb	Sptb	268928.2746	295816.2212	283466.2186	290693.1983	274395.8887	251244.0404	226255.48	204595.1599
sp|Q9R112|SQRD_MOUSE	Sqrdl	Sqrdl	33286.64877	33933.07754	35330.78858	35285.33386	30685.03141	34027.56533	25713.5514	23464.58282
sp|Q9WUP4|PORED_MOUSE	Srd5a3	Srd5a3	29211.2163	28333.69057	31000.82524	28645.54548	29932.07718	30213.29271	25467.28967	23813.73346
sp|P42228|STAT4_MOUSE	Stat4	Stat4	254020.7386	229672.9236	230561.0252	234686.352	207868.247	210582.641	170417.2866	153814.7574
sp|O55098|STK10_MOUSE	Stk10	Stk10	1545910.311	1405626.807	1542914.482	1516558.795	1407920.156	1430554.807	1241895.524	1168562.624
sp|Q9WTK7|STK11_MOUSE	Stk11	Stk11	54546.33901	53918.88004	50663.01271	51329.74134	50635.07191	49654.92509	43883.46337	45213.89233
sp|P54116|STOM_MOUSE	Stom	Stom	348820.8739	344297.1707	374735.6143	354095.7249	328638.4689	325086.4571	244251.7173	230964.9457
sp|Q9D666|SUN1_MOUSE	Sun1	Sun1	119828.1841	116391.4405	122846.8185	126550.4323	112245.8111	118539.7546	102244.7591	102261.5987
sp|Q8R086|SUOX_MOUSE	Suox	Suox	32951.63933	32176.8447	33733.72677	32886.35628	33629.42963	36562.46302	26246.03663	28240.05974
sp|Q6ZWR6|SYNE1_MOUSE	Syne1	Syne1	75007.30101	76788.40814	77083.21048	81121.47083	71692.78519	71839.81627	59579.6125	57204.68474
sp|Q8C9V1|TB10C_MOUSE	Tbc1d10c	Tbc1d10c	517205.7505	490122.5298	524832.3853	515806.6437	453655.4547	472987.0832	390029.3672	382290.5652
sp|Q6NXY1|TBC31_MOUSE	Tbc1d31	Tbc1d31	55541.51502	53617.36203	56764.91577	58622.34991	48441.87141	50804.67295	46696.45046	47692.4273
sp|P36423|THAS_MOUSE	Tbxas1	Tbxas1	105025.2511	120836.512	114653.4213	121537.3959	100453.8617	118156.3459	76726.29816	79750.97521
sp|Q3TVW5|TCHP_MOUSE	Tchp	Tchp	17376.32257	16123.33002	18746.00965	19610.99466	17530.45693	19649.86186	14793.73625	15199.68864
sp|Q921I1|TRFE_MOUSE	Tf	Tf	620058.9948	674585.4893	616089.6997	640505.1255	603194.8268	634591.6884	468644.7222	461381.8704
sp|P21981|TGM2_MOUSE	Tgm2	Tgm2	100234.5713	105432.6822	104205.3635	111678.9642	83719.75447	86132.00413	58729.05161	51557.74053
sp|P35441|TSP1_MOUSE	Thbs1	Thbs1	306005.0741	314781.9605	322450.5311	332249.9392	292852.1763	283561.9872	223235.7779	182792.5998
sp|P39876|TIMP3_MOUSE	Timp3	Timp3	27763.37334	33568.88435	36712.799	32192.08413	28786.02692	30323.29756	24859.3103	22938.79394
tr|Q5SQA4|Q5SQA4_MOUSE	Tle1	Tle1	223581.9505	237053.4148	231842.9031	261132.466	206752.3698	202452.2063	198997.1799	178142.2592
sp|P58681|TLR7_MOUSE	Tlr7	Tlr7	37652.94687	37741.51747	36741.14865	42863.52326	35553.58157	37451.00828	30288.34167	26907.84999
sp|Q9CRG1|TM7S3_MOUSE	Tm7sf3	Tm7sf3	16307.6178	16420.7913	18751.69254	17634.50684	15561.8072	17614.58726	14399.57599	13577.39099
sp|Q69ZZ6|TMCC1_MOUSE	Tmcc1	Tmcc1	48384.45865	45206.40836	44456.80411	39887.62433	44820.05659	51184.36588	36516.70089	36098.24729
sp|Q3UBX0|TM109_MOUSE	Tmem109	Tmem109	1047596.119	1028992.51	1109580.517	1033268.92	973672.5337	1021825.752	885936.6836	826858.473
sp|Q91W52|TMM19_MOUSE	Tmem19	Tmem19	24464.97656	23233.27592	26774.67848	24077.48177	26618.0215	24256.83229	19053.45688	19461.98294
sp|Q9D8Y7|TP8L2_MOUSE	Tnfaip8l2	Tnfaip8l2	150742.1104	147901.7349	155649.0558	144281.6959	140406.1798	143963.0413	105740.314	110214.5929
sp|Q01320|TOP2A_MOUSE	Top2a	Top2a	11671392.08	10657954.77	11803363.38	11572076.1	10400029.97	10894627.09	9716413.115	9196860.903
sp|O89023|TPP1_MOUSE	Tpp1	Tpp1	254605.5231	242548.9553	240819.7602	229786.0546	246447.8689	216507.0593	176539.1242	167346.1657
sp|A2APB8|TPX2_MOUSE	Tpx2	Tpx2	543145.1201	521180.9549	555757.2006	550110.5479	514487.5784	571184.6487	453015.5259	441995.1336
tr|F7BAE9|F7BAE9_MOUSE	Trf	Trf	1033241.146	772042.2577	561961.0173	664930.7999	617103.3839	627116.716	385446.3845	431505.3766
tr|E9Q2Q7|E9Q2Q7_MOUSE	Trf	Trf	58372.92292	67775.92653	64459.44248	72104.33409	52326.10128	61155.97975	46918.94359	43819.6758
tr|Q792Z1|Q792Z1_MOUSE	Try10	Try10	2090217.528	1945998.638	1929370.831	1532647.359	1723877.215	1653044.876	1274182.723	1128337.539
sp|A3KMP2|TTC38_MOUSE	Ttc38	Ttc38	382234.4988	371508.1359	368066.2113	359226.78	334384.4724	324960.1871	270451.9586	259180.3648
sp|Q6ZQM8|UD17C_MOUSE	Ugt1a7c	Ugt1a7c	74763.21037	68496.61958	74670.33898	76392.47432	66462.61237	76130.75472	56877.53692	54693.54409
sp|Q9D479|UVSSA_MOUSE	Uvssa	Uvssa	15811.01286	15832.42034	14378.19246	14714.15221	14589.28095	14471.04303	12342.22158	10597.16772
sp|O70404|VAMP8_MOUSE	Vamp8	Vamp8	22736.10434	24682.05729	26041.31173	26008.0611	23034.01396	25006.9327	21818.41802	20671.9356
sp|Q62465|VAT1_MOUSE	Vat1	Vat1	803911.5095	791135.6564	821765.5354	783160.9525	737809.7252	769168.6305	616329.8544	565542.6882
sp|P29533|VCAM1_MOUSE	Vcam1	Vcam1	65798.76202	68094.36048	68452.96966	73661.50484	55143.17133	58341.81102	46220.52672	41136.47461
sp|Q8CIZ8|VWF_MOUSE	Vwf	Vwf	46194.99337	57010.86616	51870.38509	54944.39897	43824.56134	45358.50815	35677.38611	40454.6413
sp|Q6ZPG2|WDR90_MOUSE	Wdr90	Wdr90	55935.92015	57966.31484	60876.71751	62430.38014	57158.22876	56945.14594	46479.81803	46998.83189
tr|H7BX49|H7BX49_MOUSE	Wdr90	Wdr90	52459.39213	55946.16693	56771.62198	58626.71334	54019.8173	54923.86419	43610.61666	44620.14094
sp|B7ZMP1|XPP3_MOUSE	Xpnpep3	Xpnpep3	120945.6361	115242.2558	123450.3131	125234.3481	113038.6323	120209.4592	104706.4659	99139.62147
sp|P43404|ZAP70_MOUSE	Zap70	Zap70	82256.68951	82453.39688	82694.77922	78295.4397	81620.78016	81019.63696	60098.77358	59063.21874
sp|Q9R0G7|ZEB2_MOUSE	Zeb2	Zeb2	1411369.747	1463226.685	1493315.001	1491462.486	1456626.292	1358613.298	1149804.921	1178736.208
sp|O35615|FOG1_MOUSE	Zfpm1	Zfpm1	37861.26017	40825.98858	38237.18351	40252.57733	43155.49382	41971.71809	33431.80202	35246.63233
sp|Q0VGT4|ZGRF1_MOUSE	Zgrf1	Zgrf1	158295.3916	152566.407	161973.1562	170915.7402	165963.6447	158936.1536	129925.9696	134368.8491
sp|Q8C0Q2|ZHX3_MOUSE	Zhx3	Zhx3	43470.02907	43550.76106	39904.56564	43229.22974	41916.82752	38438.70681	33737.01777	34204.54764
sp|Q8BY46|ZN574_MOUSE	Znf574	Znf574	38505.00651	35852.09042	39899.60241	38605.59693	34998.57252	38168.13569	32438.36153	31169.76138
sp|Q6NZP1|ZRAB3_MOUSE	Zranb3	Zranb3	81288.56839	78255.33719	82522.49556	82094.23141	80577.34727	77906.74129	69963.49258	65144.52257
sp|Q62523|ZYX_MOUSE	Zyx	Zyx	180638.1437	187218.5589	181665.1539	183205.9686	158819.0461	156727.1386	113723.846	114484.0096
tr|G3UW58|G3UW58_MOUSE	1810022K09Rik	1810022K09Rik	37978.32453	40504.13676	44191.50854	40377.45725	42799.50528	46487.76415	63023.38223	63667.13966
sp|Q9D2R0|AACS_MOUSE	Aacs	Aacs	179096.458	179497.0092	170872.4935	169440.0565	189699.0279	185453.3008	300707.9533	299423.5853
tr|J3QN89|J3QN89_MOUSE	Aamp	Aamp	144009.7026	143964.612	144977.8416	149892.0321	154021.0552	160933.6981	185345.0757	205664.3283
sp|Q3THG9|AASD1_MOUSE	Aarsd1	Aarsd1	1837752.037	1846554.151	1704755.017	1745760.452	1664275.808	1640312.612	2366275.266	2359721.159
sp|Q9JKX4|AATF_MOUSE	Aatf	Aatf	700220.6631	737552.5611	686870.7005	688972.3643	715852.9674	711498.9785	877963.1607	824460.0371
sp|Q99LE6|ABCF2_MOUSE	Abcf2	Abcf2	1069862.514	1021699.701	1114949.835	1071345.64	1060009.321	1100096.568	1315573.443	1273979.772
tr|Q80X81|Q80X81_MOUSE	Acat3	Acat3	807631.273	786496.6581	773711.5687	743346.5397	779816.5242	824051.6785	1035207.511	906249.8967
tr|Q3V117|Q3V117_MOUSE	Acly	Acly	4259500.71	3959457.845	4239512.915	4119722.267	4197659.633	4007615.697	5147433.407	5054052.675
sp|Q91V92|ACLY_MOUSE	Acly	Acly	4256782.568	3945254.096	4232868.913	4113241.904	4185769.333	3997418.114	5146731.144	5051518.114
sp|Q9CZW4|ACSL3_MOUSE	Acsl3	Acsl3	212085.7347	191361.7337	207293.8587	207674.9584	204540.0298	214785.6689	268859.6819	260052.5736
sp|Q9QUJ7|ACSL4_MOUSE	Acsl4	Acsl4	1339330.601	1284949.348	1328139.798	1339975.721	1396174.532	1387478.389	1620386.994	1589961.388
sp|Q9D1E8|PLCE_MOUSE	Agpat5	Agpat5	79247.17189	78713.57527	80814.64963	74922.50314	80002.83699	80195.26182	100045.5588	90663.12382
sp|O08715|AKAP1_MOUSE	Akap1	Akap1	198326.7633	215236.3215	204148.8776	214666.0146	202511.4479	218916.5818	259648.6394	293146.0151
tr|E9Q777|E9Q777_MOUSE	Akap11	Akap11	48268.27806	49009.57685	43477.15476	47534.72686	51151.40652	46792.94403	56082.70752	58293.07313
sp|Q99LW0|ANR10_MOUSE	Ankrd10	Ankrd10	29783.50142	27422.6718	28490.57286	28210.10998	29757.386	28192.4186	35428.1723	34048.54811
sp|Q8BXL7|ARFRP_MOUSE	Arfrp1	Arfrp1	156088.6121	147436.8625	165280.0683	158010.5444	153707.3481	175704.3678	187663.7742	197728.4443
sp|Q9WTL8|BMAL1_MOUSE	Arntl	Arntl	66120.1098	72804.72584	68261.52855	69784.2131	73205.44148	76140.10822	138767.5052	148063.5132
sp|Q99KN1|ARRD1_MOUSE	Arrdc1	Arrdc1	31733.37837	30701.57079	32961.82404	29956.86972	33807.76608	32543.17769	49856.41925	43563.00002
sp|Q61024|ASNS_MOUSE	Asns	Asns	54854.71495	51687.57868	55537.03937	53087.09511	58221.68085	56285.55035	67627.2421	76272.25588
sp|Q9D9K3|AVEN_MOUSE	Aven	Aven	134467.543	151267.9602	136746.0448	130573.4317	133642.2109	136871.9546	176743.1174	163186.2041
sp|Q91YN9|BAG2_MOUSE	Bag2	Bag2	436528.5721	442740.7622	456549.1383	441286.2807	432164.9039	431545.0027	546690.3863	519882.0433
sp|P24288|BCAT1_MOUSE	Bcat1	Bcat1	722901.6912	744874.1704	743596.3638	733778.74	742343.5951	738091.6073	1000445.807	982606.6791
sp|Q80XN0|BDH_MOUSE	Bdh1	Bdh1	190886.8666	181053.6342	195489.5142	189021.0512	198659.8511	205953.6873	233901.296	230135.1713
sp|Q8R2Q8|BST2_MOUSE	Bst2	Bst2	17605.05117	20394.34807	19439.20516	18145.61282	15938.15254	21792.16362	37303.61229	39652.78043
tr|Q8R5L1|Q8R5L1_MOUSE	C1qbp	C1qbp	91193.54257	92665.06303	98022.16288	82583.41513	95677.75581	92419.86041	120129.5817	124022.763
sp|P11798|KCC2A_MOUSE	Camk2a	Camk2a	312812.1144	309655.8294	302614.3864	311525.6242	334317.843	354536.1641	482764.6753	413409.4008
sp|Q6P2L7|CASC4_MOUSE	Casc4	Casc4	117058.5737	115363.4181	119547.8385	129825.4671	129195.2291	126755.1422	150268.4145	153553.5105
sp|Q8R2N0|TAP26_MOUSE	Ccdc59	Ccdc59	115411.9103	103450.8619	114547.0009	118632.4792	111475.7554	131480.3986	147135.0749	143316.2655
sp|Q9D0M2|CDCA7_MOUSE	Cdca7	Cdca7	143611.2825	147830.3014	143465.9873	145776.0097	129120.4566	150850.4119	171123.2177	180027.3657
sp|Q9D1L0|CHCH2_MOUSE	Chchd2	Chchd2	91758.38571	94195.52943	96477.2089	98979.78925	102765.5538	109920.7388	136601.5218	127753.77
sp|Q8R2N2|CIR1A_MOUSE	Cirh1a	Cirh1a	347560.7229	348580.3067	358774.289	376010.4573	357790.501	368401.74	436285.0008	427444.9015
sp|Q5SW19|CLU_MOUSE	Cluh	Cluh	1209330.345	1277597.071	1235271.213	1269196.538	1195639.356	1160468.402	1655141.306	1663768.595
sp|Q8BIG7|CMTD1_MOUSE	Comtd1	Comtd1	87776.62443	82383.0912	87235.87727	94678.39703	87503.38457	83193.8539	102682.9263	106881.1226
sp|Q8C0P5|COR2A_MOUSE	Coro2a	Coro2a	380829.898	386235.209	381172.56	360126.1009	390045.3883	391620.7792	481059.9336	462375.0706
sp|Q3U308|CTU2_MOUSE	Ctu2	Ctu2	275636.7946	284225.9098	269480.2879	282749.1124	276880.2282	283422.2057	366020.762	357526.291
sp|Q8K0C4|CP51A_MOUSE	Cyp51a1	Cyp51a1	499257.7925	477986.5774	485775.2966	500772.8217	525119.8441	617448.6566	1038322.4	1049096.16
sp|Q3UHX9|CI114_MOUSE	D2Wsu81e	D2Wsu81e	327172.7712	327305.3276	335197.7641	321818.1861	322628.0769	346456.9496	398639.0457	400923.7397
sp|Q6PAC3|DCA13_MOUSE	Dcaf13	Dcaf13	297402.7125	300294.2281	289176.997	300145.4703	299490.7231	331717.2933	378173.6582	389206.0417
tr|F8WIJ5|F8WIJ5_MOUSE	Ddhd1	Ddhd1	35206.98976	37925.34752	36988.11401	35896.68004	32839.08707	33486.07771	43159.72913	40198.68117
sp|Q80Y44|DDX10_MOUSE	Ddx10	Ddx10	801594.2865	742438.1195	760310.7322	782990.6802	752005.032	842644.9901	1032841.125	1024167.214
sp|Q8K363|DDX18_MOUSE	Ddx18	Ddx18	799830.5992	714877.8765	775625.398	765306.634	711793.8637	804208.2329	931555.32	936838.7013
sp|Q921N6|DDX27_MOUSE	Ddx27	Ddx27	1334834.714	1191399.791	1294168.278	1346989.3	1274174.006	1305687.485	1712103.183	1708422.532
sp|Q4FZF3|DDX49_MOUSE	Ddx49	Ddx49	534082.0789	481546.6931	537476.544	492635.859	512875.1161	593787.5504	676350.1617	703693.6164
sp|Q9D0R4|DDX56_MOUSE	Ddx56	Ddx56	1059641.301	1108526.417	1025639.394	1056190.098	1015323.825	1156753.794	1279884.746	1357013.959
sp|Q99KU1|DHDDS_MOUSE	Dhdds	Dhdds	15259.74644	16378.52889	18653.96713	17984.63077	18162.88388	19993.84761	23596.54262	23638.87767
sp|Q80VY9|DHX33_MOUSE	Dhx33	Dhx33	121643.8553	116268.8012	118795.233	123585.2919	123113.9597	126896.5464	164254.2244	149768.0634
sp|Q9CQ28|DPH6_MOUSE	Dph6	Dph6	1064458.527	1177567.778	1043624.061	1028513.607	1025612.912	979460.0474	1297608.01	1351410.848
sp|Q8C2P3|DUS1L_MOUSE	Dus1l	Dus1l	131328.0277	125529.3818	148111.2386	143031.1616	142165.4344	138736.9675	177103.0141	184370.317
sp|Q8R0K9|E2F4_MOUSE	E2f4	E2f4	671351.5877	637714.0716	621813.1236	671645.4246	736483.1486	665832.0726	820224.1919	879340.804
sp|Q61502|E2F5_MOUSE	E2f5	E2f5	784269.9512	760029.2307	697202.2598	792303.7033	771767.6947	794425.21	1087925.685	1130556.89
sp|Q9D903|EBP2_MOUSE	Ebna1bp2	Ebna1bp2	686735.9292	660386.4118	668222.1593	718349.7457	627254.3434	728919.7373	921773.4573	966872.0237
sp|Q9CS74|SGT1_MOUSE	Ecd	Ecd	122381.9647	125197.1348	123626.3475	127440.7441	128550.2776	126465.7855	151507.7954	157096.0467
sp|Q80Z60-3|ECE2_MOUSE	Ece2	Ece2	41444.49088	46893.04685	42431.37795	37999.26255	40001.49336	47352.25071	67434.40401	68129.36454
sp|O70251|EF1B_MOUSE	Eef1b	Eef1b	2953238.519	3015828.314	2991619.849	2933463.845	2952568.418	3001694.495	3572567.799	3747623.211
sp|Q9D8N0|EF1G_MOUSE	Eef1g	Eef1g	6851334.869	6586554.628	6657968.527	6727328.84	6804995.891	6919839.138	8078675.827	8481174.636
sp|Q99LC8|EI2BA_MOUSE	Eif2b1	Eif2b1	429009.7945	443306.721	436494.8449	429980.6615	416435.6633	449330.6657	515122.6602	553386.7325
sp|Q9DCH4|EIF3F_MOUSE	Eif3f	Eif3f	1328364.111	1397079.579	1408009.249	1431409.63	1378868.972	1470957.007	1675987.525	1673398.377
sp|Q9JLJ5|ELOV1_MOUSE	Elovl1	Elovl1	31235.74848	30053.72008	29366.67139	31748.5024	31833.30174	35158.05183	42353.9085	38740.91666
sp|P16406|AMPE_MOUSE	Enpep	Enpep	230106.2541	239866.7664	244253.3087	246751.1427	286880.0343	273691.5276	546607.735	540368.0162
tr|A2ALK6|A2ALK6_MOUSE	Epb4	Epb4	53131.50174	54145.01094	51476.7571	56077.54341	56411.46525	60337.79605	86116.4573	80377.80279
sp|Q99K30|ES8L2_MOUSE	Eps8l2	Eps8l2	59663.66329	62899.61342	60394.18637	63837.42462	59975.80308	56953.55238	83298.63996	83360.72127
sp|Q9CZU4|ERAL1_MOUSE	Eral1	Eral1	106807.4577	106282.9108	97094.4566	103401.6542	106132.8942	102756.4843	137761.6565	145336.0494
sp|Q9CR89|ERGI2_MOUSE	Ergic2	Ergic2	41352.07862	40111.69303	42845.30911	43701.78235	40937.83509	37443.07551	47484.10036	49164.21509
sp|Q3V1V3|ESF1_MOUSE	Esf1	Esf1	588517.6714	605308.7918	599711.4449	572504.5208	644727.9981	599274.1424	711619.3576	746925.2944
sp|P19096|FAS_MOUSE	Fasn	Fasn	3049895.54	3076132.7	3126591.591	3145330.222	3154365.749	2963518.288	4323399.971	4164063.591
sp|P20693|FCER2_MOUSE	Fcer2	Fcer2	32485.69049	25627.77662	30131.16407	29355.65873	30894.51511	26830.41204	44890.31689	53395.35155
sp|Q920E5|FPPS_MOUSE	Fdps	Fdps	540024.8908	550472.3752	548948.6246	515593.289	526515.9607	541318.6806	839698.1305	876560.0848
sp|Q9Z2G1|FM1AA_MOUSE	Fem1aa	Fem1aa	85923.66553	82550.22403	79815.56409	80318.74018	87929.54421	81219.24411	105719.6494	94656.38795
sp|A2APV2|FMNL2_MOUSE	Fmnl2	Fmnl2	245479.8106	234915.9817	253031.8048	248011.001	252327.4384	241537.7533	303478.2925	318307.3555
sp|A2APV2-3|FMNL2_MOUSE	Fmnl2	Fmnl2	243543.3829	234001.6213	252521.2356	247642.1733	250995.4159	239453.4191	300403.7902	309016.8689
sp|Q8BIE6|FRM4A_MOUSE	Frmd4a	Frmd4a	25859.62529	26162.36026	25870.50059	27626.93626	24671.90458	25120.43123	31932.6205	29101.52307
sp|Q9DBE9|SPB1_MOUSE	Ftsj3	Ftsj3	349088.2059	305889.271	337322.4939	366398.9186	293354.8035	369834.2777	484316.8227	462049.874
sp|P60521|GBRL2_MOUSE	Gabarapl2	Gabarapl2	257134.1604	225382.4195	278912.1158	254745.9651	259685.0635	256910.5429	323344.1739	319222.7332
sp|Q8CAB8|GATL2_MOUSE	Gatsl2	Gatsl2	18812.29995	20178.99369	20946.93092	21334.90373	20286.1524	17806.61045	29494.09824	24327.34959
sp|Q9Z0E6|GBP2_MOUSE	Gbp2	Gbp2	94169.25724	83223.56159	87846.90086	92511.14628	96099.10471	96362.75565	125496.4492	110246.0148
sp|Q61107|GBP4_MOUSE	Gbp4	Gbp4	422642.8447	416422.986	422446.5615	416301.7738	443683.2857	433300.2309	541658.5919	543420.9161
tr|Q91Z40|Q91Z40_MOUSE	Gbp7	Gbp7	480081.8104	507963.891	477998.5579	497004.0491	541699.3635	523428.7163	746881.5735	828506.6662
sp|Q8BX17|GEMI5_MOUSE	Gemin5	Gemin5	727493.4282	740391.7273	747764.4816	751564.7723	744233.8064	712518.1407	909305.939	883314.4825
sp|Q61543|GSLG1_MOUSE	Glg1	Glg1	543147.842	605787.6747	560051.9185	604478.3696	633759.7888	633380.4754	838503.7149	878165.4807
tr|F6U529|F6U529_MOUSE	Gls	Gls	444530.0062	447204.8999	417902.3396	414080.9452	461451.4269	435765.3774	498535.9544	535619.1475
sp|D3Z7P3-2|GLSK_MOUSE	Gls	Gls	454440.4563	442752.5253	435921.8944	411314.33	472682.8776	418846.1422	507784.4394	540971.1007
tr|Q8BK35|Q8BK35_MOUSE	Gltscr2	Gltscr2	103260.7775	91384.73971	100049.4222	107526.6378	97843.15944	107246.2718	157134.1086	136027.0193
tr|F6SVV1|F6SVV1_MOUSE	Gm9493	Gm9493	10074314.09	10287757.17	10421884.03	10468273.6	9350769.549	10564085.3	12677637.89	12145143.08
sp|P68040|GBLP_MOUSE	Gnb2l1	Gnb2l1	12865856.08	12578461.17	12558158.24	11843560.06	12993668.52	12154818.63	15483994.45	14874263.1
sp|Q80SZ7|GBG5_MOUSE	Gng5	Gng5	43794.98607	39124.23682	51720.75232	50034.41154	45765.50279	55928.81256	77327.45707	71177.79992
sp|Q99LH1|NOG2_MOUSE	Gnl2	Gnl2	413186.2387	400726.3826	413248.2516	412695.8828	391480.1793	438304.7445	506821.1659	516631.0042
sp|Q8CI11|GNL3_MOUSE	Gnl3	Gnl3	886319.7832	862511.992	856786.1064	891783.1593	886807.3426	917904.0826	1314256.801	1209357.681
sp|Q6PGG6|GNL3L_MOUSE	Gnl3l	Gnl3l	415539.9964	390429.698	402083.2272	386553.2227	381503.4346	425508.2682	534264.3805	559361.743
sp|P05201|AATC_MOUSE	Got1	Got1	1306205.991	1297053.394	1275688.95	1259494.228	1304057.958	1286778.566	1550785.091	1564778.4
sp|Q3TFK5|GPTC4_MOUSE	Gpatch4	Gpatch4	53564.89848	51315.52093	53616.03749	58578.4212	54780.90843	57978.15525	77083.78539	66769.1327
sp|Q8VCE2|GPN1_MOUSE	Gpn1	Gpn1	78144.43955	81235.43615	78016.1676	77354.72731	79174.50653	82873.68426	95162.4807	100640.9109
sp|Q8C5Q4|GRSF1_MOUSE	Grsf1	Grsf1	145648.9353	156616.6805	138604.7477	137511.9185	151335.4165	162249.0831	204096.5698	199715.6842
sp|Q810D6|GRWD1_MOUSE	Grwd1	Grwd1	591890.0628	586321.2217	549393.8366	558501.2445	606109.2397	590941.2285	720733.0012	812470.7052
sp|Q80SU7|GVIN1_MOUSE	Gvin1	Gvin1	2054740.412	2113931.855	2142183.966	2119978.643	2356133.182	2135562.559	3238571.736	3114071.913
tr|G3X9B1|G3X9B1_MOUSE	Heatr1	Heatr1	1922455.816	1917184.287	1923062.512	1989098.087	1920596.709	1892473.686	2384120.195	2389782.963
sp|Q8BQM4|HEAT3_MOUSE	Heatr3	Heatr3	748665.5684	682276.9019	714738.7889	707969.9056	725758.2344	699021.8808	958314.3523	994094.9911
sp|Q8C3I8|HGH1_MOUSE	Hgh1	Hgh1	453067.7764	480156.7622	499718.4573	473580.8175	496449.2263	522264.8559	630433.2932	659410.6352
sp|O08528|HXK2_MOUSE	Hk2	Hk2	630158.1108	635100.3018	651315.8229	682392.3179	650660.8931	645675.9163	794937.7474	784343.6742
sp|Q8JZK9|HMCS1_MOUSE	Hmgcs1	Hmgcs1	382604.5115	399186.753	385585.5363	374843.0792	449355.6511	439072.5478	871513.5563	858699.8535
sp|P63038|CH60_MOUSE	Hspd1	Hspd1	32329183.37	31651717.5	31105398.43	31110508.71	32634665.81	32319641.06	37632960.46	38105783.94
sp|P58044|IDI1_MOUSE	Idi1	Idi1	282957.6859	289464.4436	293690.9715	292087.7625	301630.8635	296160.2084	452778.8143	464958.1074
tr|Q62293|Q62293_MOUSE	Ifggb5	Ifggb5	172218.1727	162001.0502	177558.7252	181620.1277	190488.2085	201911.1491	255588.7924	240588.5336
sp|O35368-3|IFI3_MOUSE	Ifi203	Ifi203	198859.8337	186028.004	195055.5307	186605.2616	208204.5758	235295.0818	299153.9942	299775.79
tr|E9QAN9|E9QAN9_MOUSE	Ifi203	Ifi203	414731.3527	377426.3022	409147.6698	396249.3766	409377.9806	472399.7023	563916.8163	564996.8662
tr|Q61635|Q61635_MOUSE	Ifi47	Ifi47	4340001.197	4131413.954	4322231.875	4024168.823	4399182.89	4389587.007	5314680.559	5128049.971
sp|P19182|IFRD1_MOUSE	Ifrd1	Ifrd1	25840.88715	22298.42266	24468.82086	23842.95222	21909.23028	21060.60441	38198.74236	40636.90396
